name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass
Yamato 792748,28097,Valid,H4,6.37,Found,1979.0,-71.5,35.66667,0.8041395005134427
Yamato 86141,29647,Valid,H4,2.7,Found,1986.0,-71.5,35.66667,0.4313639250087657
Allan Hills A77238,1549,Valid,H6,5.83,Found,1977.0,-76.71667,159.66667,0.7656686292520578
Asuka 881637,4346,Valid,L3,195.62,Found,1988.0,-72.0,26.0,2.291413256790307
Yamato 983504,40126,Valid,H5,40.77,Found,1998.0,0.0,0.0,1.6103407221044619
Lewis Cliff 88584,14324,Valid,H5,4.5,Found,1988.0,-84.24617,161.40878,0.6532126102852178
Allan Hills 84018,621,Valid,Aubrite,81.7,Found,1984.0,-76.86224,158.51818,1.9122220618481374
Queen Alexandra Range 97786,21241,Valid,LL5,1.7,Found,1997.0,-84.0,168.0,0.23044917684554106
Queen Alexandra Range 99785,22231,Valid,LL5,24.1,Found,1999.0,-84.0,168.0,1.3820170605953859
Jiddat al Harasis 608,51957,Valid,H5,120.6,Found,2009.0,19.85902,55.94038,2.0813473114052474
Yamato 982743,39365,Valid,H6,3.81,Found,1998.0,0.0,0.0,0.5809250896636573
Lewis Cliff 88107,13860,Valid,H5,9.0,Found,1988.0,-84.25536,161.40218,0.9542425576942646
Daraj 146,6601,Valid,H5,4553.0,Found,2000.0,29.62778,11.7025,3.6582976504035765
Grove Mountains 021821,47861,Valid,L6,1.17,Found,2003.0,-72.777222,75.338056,0.06818623293786782
Lewis Cliff 87117,13587,Valid,H6,6.7,Found,1987.0,-84.25377,161.40002,0.8260748675208935
Ramlat as Sahmah 423,55660,Valid,H3.4-5,230.3,Found,2010.0,20.49917,56.49815,2.3622939398500082
Ramlat as Sahmah 312,51984,Valid,H6,472.7,Found,2009.0,20.7982,55.47148,2.674585603221667
Asuka 881963,4672,Valid,L5,26.33,Found,1988.0,-72.0,26.0,1.4204508756003513
Miller Range 07692,51392,Valid,CM2,5.2,Found,2007.0,0.0,0.0,0.7160034271529607
Ramlat as Sahmah 319,51991,Valid,H5,948.4,Found,2009.0,20.88187,55.43452,2.976991545764074
Yamato 982755,39377,Valid,H5,14.0,Found,1998.0,0.0,0.0,1.1461280666992713
MacAlpine Hills 88161,15325,Valid,H4,14.3,Found,1988.0,-84.21667,160.5,1.1553360678353042
Grove Mountains 022863,50087,Valid,H5,0.6,Found,2003.0,-72.7739,75.3333,-0.22184802579282306
Yamato 86568,30074,Valid,H4,1.12,Found,1986.0,-71.5,35.66667,0.049218410432938786
Dar al Gani 1041,32785,Valid,CO3,169.0,Found,1998.0,27.08333,16.055,2.227886707183463
Elephant Moraine 96038,9632,Valid,L6,284.9,Found,1996.0,-76.18333,157.16667,2.454692450763852
Lewis Cliff 88648,14385,Valid,H6,21.7,Found,1988.0,-84.27082,161.3694,1.3364597538620997
Northwest Africa 5823,50701,Valid,H4,780.0,Found,2008.0,0.0,0.0,2.8920946032472683
Queen Alexandra Range 94455,20087,Valid,L6,1.8,Found,1994.0,-84.0,168.0,0.25527274637795117
Dhofar 271,7054,Valid,H4,1335.0,Found,2000.0,18.265,54.045,3.125481266025908
Elephant Moraine 90646,9055,Valid,L6,27.2,Found,1990.0,-76.2767,156.4175,1.4345689200009073
Yamato 790780,26129,Valid,H4,7.78,Found,1979.0,-71.5,35.66667,0.8909796528115982
Sayh al Uhaymir 052,23244,Valid,H5,399.0,Found,2000.0,21.011,57.32067,2.6009728967752057
Yamato 86167,29673,Valid,H4,1.18,Found,1986.0,-71.5,35.66667,0.07188237535214048
Yamato 793135,28484,Valid,E3,0.51,Found,1979.0,-71.5,35.66667,-0.2924289723450908
Miller Range 090859,56024,Valid,L5,70.2,Found,2009.0,0.0,0.0,1.8463371183163364
Queen Alexandra Range 93551,19639,Valid,H5,23.5,Found,1993.0,-84.0,168.0,1.3710678807523522
Miller Range 090247,54194,Valid,LL6,8.2,Found,2009.0,0.0,0.0,0.9138139053464551
Dhofar 029,6728,Valid,H6,2792.0,Found,1999.0,19.1005,54.8235,3.4459154141066732
Meteorite Hills 00857,16091,Valid,LL6,21.7,Found,2000.0,-79.68333,159.75,1.3364597538620997
Meteorite Hills 00862,16096,Valid,H6,2.2,Found,2000.0,-79.68333,159.75,0.3424228782287441
Lewis Cliff 88137,13890,Valid,H4,26.1,Found,1988.0,-84.24555,161.40203,1.416640523977916
Frontier Mountain 01093,10276,Valid,L6,26.4,Found,2001.0,-72.95194,160.45556,1.4216039433203793
Coyote Dry Lake 033,30456,Valid,H5,5220.0,Found,1999.0,35.05605,-116.7763,3.7176705030854604
Dhofar 1506,53795,Valid,L~6,362.2,Found,2009.0,18.1603,54.17717,2.5589484471770856
Asuka 881739,4448,Valid,H6,23.09,Found,1988.0,-72.0,26.0,1.3634239517259452
Elephant Moraine 90241,8650,Valid,L6,9.1,Found,1990.0,-76.28682,156.45075,0.9590414400457593
Yamato 981605,38228,Valid,L6,576.89,Found,1998.0,0.0,0.0,2.7610930115735735
LaPaz Icefield 02377,12644,Valid,LL5,130.5,Found,2002.0,-86.36667,-70.0,2.115610515002227
Ramlat al Wahibah 023,45894,Valid,H4,107.09,Found,2006.0,21.37605,58.4277,2.0297489226222525
Miller Range 090740,55130,Valid,L5,123.0,Found,2009.0,0.0,0.0,2.0899051149702474
Claytonville (b),5376,Valid,OC,5136.0,Found,1978.0,34.34833,-101.65833,3.710625015145356
Yamato 982905,39527,Valid,L3,3.68,Found,1998.0,0.0,0.0,0.5658479366883065
LaPaz Icefield 02243,12510,Valid,H5,11.67,Found,2002.0,-86.36667,-70.0,1.067070893259977
Thiel Mountains 07013,51017,Valid,L5,396.0,Found,2007.0,-85.16567,-94.683833,2.5976951870222154
Yamato 983365,39987,Valid,H5,12.12,Found,1998.0,0.0,0.0,1.083502655663144
Grove Mountains 022555,50034,Valid,L5 ,1.15,Found,2003.0,-72.77389,75.34194,0.06069821800082299
Queen Alexandra Range 94695,20326,Valid,L5,12.4,Found,1994.0,-84.0,168.0,1.0934217201859822
Chicago Valley,44706,Valid,L5,26.0,Found,2004.0,36.00217,-116.19633,1.4149733646744516
Lewis Cliff 86200,13138,Valid,H5,2.9,Found,1986.0,-84.27369,161.6869,0.4623981476556482
Queen Alexandra Range 93235,19324,Valid,LL5,9.1,Found,1993.0,-84.57966,162.62089,0.9590414400457593
Allan Hills A77186,1498,Valid,H5,122.4,Found,1977.0,-76.71667,159.66667,2.0877814213577
Grove Mountains 020224,49729,Valid,L5,6.4,Found,2003.0,-72.98722,75.20972,0.8061800418423947
Queen Alexandra Range 99835,22280,Valid,LL5,1.5,Found,1999.0,-84.0,168.0,0.17609154858523932
Dominion Range 08379,52141,Valid,L6,1.2,Found,2008.0,0.0,0.0,0.07918160795954224
MacAlpine Hills 88136,15300,Valid,EL3,74.4,Found,1988.0,-84.21667,160.5,1.87157294138317
Lewis Cliff 86119,13058,Valid,H4,44.3,Found,1986.0,-84.25711,161.38653,1.6464037360265564
Acfer 042,52,Valid,H5,246.0,Found,1989.0,27.46667,3.83333,2.390935108868804
Larkman Nunatak 06808,49680,Valid,L5,237.9,Found,2006.0,0.0,0.0,2.3763944438628
Dominion Range 08380,54111,Valid,H6,2.8,Found,2008.0,0.0,0.0,0.4471581864473636
Yamato 790092,25441,Valid,H4,2.59,Found,1979.0,-71.5,35.66667,0.4132999317624866
Yamato 75184,25225,Valid,L6,1.94,Found,1975.0,-71.5,35.66667,0.2878019537933033
Allan Hills A77096,1409,Valid,H5,2.5,Found,1977.0,-76.71667,159.66667,0.39794018238979567
Patuxent Range 10291,57093,Valid,L6,2.1,Found,2010.0,0.0,0.0,0.32221950154076623
Northwest Africa 4550,45511,Valid,Diogenite,70.0,Found,2006.0,0.0,0.0,1.8450980462184636
Elephant Moraine 83272,7912,Valid,L6,34.5,Found,1983.0,-76.29528,157.23806,1.5378191076615197
Queen Alexandra Range 93674,19761,Valid,L5,55.4,Found,1993.0,-84.0,168.0,1.7435097725676802
Northwest Africa 032,17042,Valid,Lunar (basalt),300.0,Found,1999.0,30.36667,-5.05,2.477121256167311
Yamato 983920,40540,Valid,H5,632.7,Found,1998.0,0.0,0.0,2.8011978351455635
Allan Hills A78205,1818,Valid,H5,8.9,Found,1978.0,-76.71667,159.66667,0.9493900554420428
Ramlat al Wahibah 007,45878,Valid,H5,1940.66,Found,2006.0,21.1746,58.40918,3.2879494546961374
Asuka 880871,3580,Valid,H5,52.58,Found,1988.0,-72.0,26.0,1.7208205900300335
Northwest Africa 6739,54604,Valid,H~5,133.4,Found,2010.0,0.0,0.0,2.125155832836111
Hammadah al Hamra 166,11649,Valid,L6,52.0,Found,1995.0,28.66767,13.5035,1.716003351986616
Asuka 881558,4267,Valid,H3.8,31.78,Found,1988.0,-72.0,26.0,1.5021539065370144
Sayh al Uhaymir 250,23423,Valid,H4-6,16200.0,Found,2003.0,20.58298,57.3165,4.2095150145694396
Asuka 881753,4462,Valid,H4,180.08,Found,1988.0,-72.0,26.0,2.255465484404139
Northwest Africa 6088,51497,Valid,L4,80.0,Found,2007.0,0.0,0.0,1.9030899924206246
Dominion Range 08199,54018,Valid,L5,21.6,Found,2008.0,0.0,0.0,1.3344537712571565
Elephant Moraine 99409,9952,Valid,L6,400.2,Found,1999.0,-76.18333,157.16667,2.6022770853853863
Dhofar 1062,6868,Valid,L6,43.0,Found,2000.0,18.83792,54.67033,1.633468465679458
Frontier Mountain 01096,10279,Valid,H6,3.3,Found,2001.0,-72.95333,160.46194,0.518514071482256
Yamato 82127,29321,Valid,L6,14.96,Found,1982.0,-71.5,35.66667,1.1749316225588213
Dhofar 564,7325,Valid,H5,283.0,Found,2001.0,18.71863,54.37952,2.4517864370588995
Ramlat al Wahibah 024,45895,Valid,H5,12.07,Found,2006.0,21.37628,58.42768,1.0817073060786635
Yamato 791583,26932,Valid,L6,6.69,Found,1979.0,-71.5,35.66667,0.8254261826847813
Yamato 791007,26356,Valid,H5,147.15,Found,1979.0,-71.5,35.66667,2.1677602693870024
Queen Alexandra Range 99196,21647,Valid,LL5,77.59999999999998,Found,1999.0,-84.0,168.0,1.8898617268547666
Grefsheim,11196,Valid,L5,45.5,Fell,1976.0,60.66667,11.0,1.658011406202046
Yamato 74387,24765,Valid,H5,1.45,Found,1974.0,0.0,35.66667,0.16136830174830738
Yamato 792594,27943,Valid,H4/5,3.68,Found,1979.0,-71.5,35.66667,0.5658479366883065
Allan Hills 88115,1159,Valid,H5,6.03,Found,1988.0,-76.71667,159.33333,0.7803173841624476
Elephant Moraine 87598,8148,Valid,L6,22.3,Found,1987.0,-76.28156,157.17756,1.348304882523249
Ramlat as Sahmah 298,51899,Valid,L6,389.2,Found,2009.0,20.66713,55.31572,2.5901728327121787
Shişr 043,23578,Valid,"Iron, IIIAB",8267.0,Found,2003.0,18.59243,53.81247,3.9173479376803053
Dominion Range 08041,53000,Valid,LL5,145.8,Found,2008.0,0.0,0.0,2.163757526960656
Ramlat as Sahmah 354,55445,Valid,H6,3873.8,Found,2010.0,20.31777,55.59398,3.5881371949313006
Yamato 791762,27111,Valid,L4,4.06,Found,1979.0,-71.5,35.66667,0.6085261405462651
Dar al Gani 009,5525,Valid,H6,2235.0,Found,1995.0,27.15267,16.1565,3.3492775276622706
Elephant Moraine 99445,9988,Valid,H5,4.9,Found,1999.0,-76.18333,157.16667,0.6901961686600315
Lewis Cliff 88136,13889,Valid,H6,34.6,Found,1988.0,-84.24651,161.39562,1.53907611134464
Yamato 982003,38625,Valid,Acapulcoite,19.84,Found,1998.0,0.0,0.0,1.297541689708002
Grove Mountains 021189,47807,Valid,L5,1.16,Found,2003.0,-72.983611,75.245833,0.06445836361855178
MacAlpine Hills 88147,15311,Valid,H5,98.4,Found,1988.0,-84.21667,160.5,1.9929951028449033
Lewis Cliff 88187,13940,Valid,L6,35.4,Found,1988.0,-84.27532,161.35901,1.5490032742939932
Yamato 983607,40229,Valid,H4,12.24,Found,1998.0,0.0,0.0,1.0877814532911163
Allan Hills 88075,1119,Valid,H6,10.9,Found,1988.0,-76.71667,159.33333,1.0374265377841523
Frontier Mountain 09019,55365,Valid,L4,16.6,Found,2009.0,-72.95275,160.4837,1.2201081142023726
Yamato 982635,39257,Valid,LL5,4.33,Found,1998.0,0.0,0.0,0.6364879966523105
Queen Alexandra Range 99635,22081,Valid,LL5,1.3,Found,1999.0,-84.0,168.0,0.11394368637938665
Grove Mountains 020329,49759,Valid,L5,1.32,Found,2003.0,-72.98389,75.24639,0.12057426021669637
Queen Alexandra Range 99743,22189,Valid,LL5,0.3,Found,1999.0,-84.0,168.0,-0.5228772976344773
Dhofar 1714,56338,Valid,L6,562.0,Found,2010.0,18.98073,54.6486,2.749736316341827
Queen Alexandra Range 99610,22056,Valid,L6,59.5,Found,1999.0,-84.0,168.0,1.7745169730276165
Northwest Africa 5860,50738,Valid,L6,555.0,Found,2006.0,0.0,0.0,2.7442929839051886
Northwest Africa 6129,51538,Valid,H6,1374.12,Found,2007.0,30.45625,-5.48672,3.1380246610324387
Lahmada 015,12428,Valid,H6,1455.0,Found,1998.0,27.2335,-9.75767,3.1628629936204105
Lewis Cliff 88414,14159,Valid,H5,7.3,Found,1988.0,-84.24206,161.44084,0.8633229196128466
Hammadah al Hamra 296,11779,Valid,H5/6,27064.0,Found,2000.0,29.1,12.31667,4.432391984795971
Jiddat al Harasis 100,12159,Valid,H4-5,1362.5,Found,2002.0,19.51418,56.85202,3.134336511267428
Yamato 792990,28339,Valid,E3,1.62,Found,1979.0,-71.5,35.66667,0.20951528262556174
Grove Mountains 021548,46758,Valid,L5,31.81,Found,2003.0,-72.96278,75.24611,1.502563682760129
Ilafegh 015,12020,Valid,L6,72.0,Found,1989.0,21.71667,1.5,1.8573325024631362
Queen Alexandra Range 93558,19646,Valid,L5,8.2,Found,1993.0,-84.0,168.0,0.9138139053464551
Ramlat as Sahmah 220,35653,Valid,L4,247.64,Found,2003.0,20.47493,55.80425,2.3938207970946004
Queen Alexandra Range 99210,21661,Valid,LL5,8.6,Found,1999.0,-84.0,168.0,0.934498501742923
Queen Alexandra Range 99457,21903,Valid,L6,211.7,Found,1999.0,-84.0,168.0,2.3257208600708736
Asuka 881003,3712,Valid,L6,109.46,Found,1988.0,-72.0,26.0,2.0392554477740954
Miller Range 090363,54232,Valid,H6,2.4,Found,2009.0,0.0,0.0,0.38021142266760244
Yamato 791921,27270,Valid,L6,7.63,Found,1979.0,-71.5,35.66667,0.882524594874206
Dominion Range 08259,54038,Valid,LL6,64.2,Found,2008.0,0.0,0.0,1.8075350348335648
Yamato 983428,40050,Valid,H5,26.51,Found,1998.0,0.0,0.0,1.4234097441153821
